cenario;politica;escalonamento;cpu_mhz;tarefa;deadline_us;duracao_s;jobs;misses;miss_pct;exec_min_us;exec_avg_us;exec_max_us;resp_min_us;resp_avg_us;resp_max_us;lat_inicio_max_us;jitter_avg_us;jitter_max_us;evento_us;inicio_us;fim_us;cpu_media_ponderada_pct;cpu_ultima_janela_pct
01;CUSTOM;PRE;80;FUS_IMU;5000;35.0;7000;0;0.0;2027;2054.3;2395;1921;1950.7;4288;2242;104.2;2242;35042128;35042024;35044052;41.656857142857135;41.128
01;CUSTOM;PRE;80;CTRL_ATT;5000;35.0;6999;1;0.014;1352;1356.1;10165;3410;3441.0;12223;2429;49.4;371;35042024;35044082;35045435;27.910142857142855;27.88
01;CUSTOM;PRE;80;NAV_PLAN;20000;35.0;12;5;41.667;4;27288.7;69463;28;28422.0;69521;3190;1331.6;2616;24534958;24535501;24535505;0.283;0.0
01;CUSTOM;PRE;80;FAIL_SAFE;10000;35.0;1;0;0.0;4239;4239.0;4239;4259;4259.0;4259;20;0.0;0;23019744;23019764;23024003;0.013142857142857142;0.0
02;CUSTOM;PRE;240;FUS_IMU;5000;35.0;7000;0;0.0;668;677.4;794;615;623.5;1440;767;54.1;767;35040621;35040567;35041236;13.746;13.576
02;CUSTOM;PRE;240;CTRL_ATT;5000;35.0;7000;0;0.0;447;451.3;513;1129;1139.6;1402;889;17.9;206;35040567;35041246;35041697;9.307428571428572;9.3
02;CUSTOM;PRE;240;NAV_PLAN;20000;35.0;12;0;0.0;1;3209.2;8662;11;3340.5;8672;1148;229.4;1138;22109162;22109172;22109173;0.15214285714285714;0.0
02;CUSTOM;PRE;240;FAIL_SAFE;10000;35.0;1;0;0.0;1339;1339.0;1339;1348;1348.0;1348;9;0.0;0;20444906;20444915;20446254;0.004428571428571429;0.0
03;CUSTOM;COOP;80;FUS_IMU;5000;35.015;7001;26;0.371;2021;2248.5;3070;1103;1362.7;7483;5159;934.8;5159;35059938;35059015;35061853;41.729628130801096;41.233
03;CUSTOM;COOP;80;CTRL_ATT;5000;35.015;6967;3;0.043;1352;1356.7;10620;3404;3637.4;12677;3101;380.2;1014;35059015;35061888;35063254;27.771130601170924;27.837
03;CUSTOM;COOP;80;NAV_PLAN;20000;35.015;12;5;41.667;8;18184.2;46663;38;19746.9;46686;3420;1923.1;3397;25909849;25913264;25913272;0.29743732685991714;0.0
03;CUSTOM;COOP;80;FAIL_SAFE;10000;35.015;1;0;0.0;4778;4778.0;4778;4799;4799.0;4799;21;0.0;0;24597092;24597113;24601891;0.012995630444095387;0.0
04;CUSTOM;COOP;240;FUS_IMU;5000;35.012;7001;19;0.271;666;676.8;995;179;307.2;5825;5153;431.1;5153;35056043;35056135;35056807;13.729655432423169;13.566
04;CUSTOM;COOP;240;CTRL_ATT;5000;35.012;6974;0;0.0;447;450.6;514;1127;1137.9;1430;916;17.6;235;35056135;35056818;35057265;9.248996572603678;9.255
04;CUSTOM;COOP;240;NAV_PLAN;20000;35.012;12;0;0.0;5;2522.9;7414;15;2541.5;7424;65;13.5;56;24364069;24364078;24364084;0.19971918199474467;0.0
04;CUSTOM;COOP;240;FAIL_SAFE;10000;35.012;1;0;0.0;1339;1339.0;1339;1347;1347.0;1347;8;0.0;0;22863822;22863830;22865169;0.004570547240945961;0.0
05;DM;PRE;80;FUS_IMU;5000;35.0;7000;0;0.0;2027;2052.7;2395;1920;1948.8;2291;5;104.0;108;35042136;35042032;35044060;41.630714285714284;41.151
05;DM;PRE;80;CTRL_ATT;5000;35.0;7000;0;0.0;1352;1353.4;1419;3410;3437.0;3795;2425;48.8;366;35042032;35044090;35045443;27.88357142857143;27.862
05;DM;PRE;80;NAV_PLAN;20000;35.0;12;5;41.667;4;26006.8;65910;63;27768.7;68878;3079;1242.6;2560;32391468;32391526;32391531;0.28885714285714287;0.042
05;DM;PRE;80;FAIL_SAFE;10000;35.0;1;1;100.0;14768;14768.0;14768;14792;14792.0;14792;24;0.0;0;30695761;30695785;30710553;0.013285714285714284;0.09
