cenario;tarefa;inicio_s;fim_s;duracao_s;novos_jobs;novas_perdas;perdas_pct_janela;cpu_pct
01;FUS_IMU;0.0;5.0;5.0;1000;0;0.0;41.129
01;FUS_IMU;5.0;10.0;5.0;1000;0;0.0;41.235
01;FUS_IMU;10.0;15.0;5.0;1000;0;0.0;42.492
01;FUS_IMU;15.0;20.0;5.0;1000;0;0.0;42.889
01;FUS_IMU;20.0;25.0;5.0;1000;0;0.0;41.597
01;FUS_IMU;25.0;30.0;5.0;1000;0;0.0;41.128
01;FUS_IMU;30.0;35.0;5.0;1000;0;0.0;41.128
01;CTRL_ATT;0.0;5.0;5.0;1000;0;0.0;27.894
01;CTRL_ATT;5.0;10.0;5.0;1000;0;0.0;27.94
01;CTRL_ATT;10.0;15.0;5.0;1000;0;0.0;27.927
01;CTRL_ATT;15.0;20.0;5.0;1000;0;0.0;27.916
01;CTRL_ATT;20.0;25.0;5.0;999;1;0.1001001001001001;27.906
01;CTRL_ATT;25.0;30.0;5.0;1000;0;0.0;27.908
01;CTRL_ATT;30.0;35.0;5.0;1000;0;0.0;27.88
01;NAV_PLAN;0.0;5.0;5.0;0;0;;0.001
01;NAV_PLAN;5.0;10.0;5.0;3;1;33.333333333333336;0.423
01;NAV_PLAN;10.0;15.0;5.0;2;1;50.0;0.39
01;NAV_PLAN;15.0;20.0;5.0;4;2;50.0;0.76
01;NAV_PLAN;20.0;25.0;5.0;3;1;33.333333333333336;0.407
01;NAV_PLAN;25.0;30.0;5.0;0;0;;0.0
01;NAV_PLAN;30.0;35.0;5.0;0;0;;0.0
01;FAIL_SAFE;0.0;5.0;5.0;0;0;;0.003
01;FAIL_SAFE;5.0;10.0;5.0;0;0;;0.0
01;FAIL_SAFE;10.0;15.0;5.0;0;0;;0.0
01;FAIL_SAFE;15.0;20.0;5.0;0;0;;0.0
01;FAIL_SAFE;20.0;25.0;5.0;1;0;0.0;0.089
01;FAIL_SAFE;25.0;30.0;5.0;0;0;;0.0
01;FAIL_SAFE;30.0;35.0;5.0;0;0;;0.0
02;FUS_IMU;0.0;5.0;5.0;1000;0;0.0;13.582
02;FUS_IMU;5.0;10.0;5.0;1000;0;0.0;13.595
02;FUS_IMU;10.0;15.0;5.0;1000;0;0.0;14.082
02;FUS_IMU;15.0;20.0;5.0;1000;0;0.0;14.154
02;FUS_IMU;20.0;25.0;5.0;1000;0;0.0;13.657
02;FUS_IMU;25.0;30.0;5.0;1000;0;0.0;13.576
02;FUS_IMU;30.0;35.0;5.0;1000;0;0.0;13.576
02;CTRL_ATT;0.0;5.0;5.0;1000;0;0.0;9.303
02;CTRL_ATT;5.0;10.0;5.0;1000;0;0.0;9.313
02;CTRL_ATT;10.0;15.0;5.0;1000;0;0.0;9.315
02;CTRL_ATT;15.0;20.0;5.0;1000;0;0.0;9.315
02;CTRL_ATT;20.0;25.0;5.0;1000;0;0.0;9.306
02;CTRL_ATT;25.0;30.0;5.0;1000;0;0.0;9.3
02;CTRL_ATT;30.0;35.0;5.0;1000;0;0.0;9.3
02;NAV_PLAN;0.0;5.0;5.0;0;0;;0.0
02;NAV_PLAN;5.0;10.0;5.0;3;0;0.0;0.252
02;NAV_PLAN;10.0;15.0;5.0;3;0;0.0;0.293
02;NAV_PLAN;15.0;20.0;5.0;5;0;0.0;0.456
02;NAV_PLAN;20.0;25.0;5.0;1;0;0.0;0.064
02;NAV_PLAN;25.0;30.0;5.0;0;0;;0.0
02;NAV_PLAN;30.0;35.0;5.0;0;0;;0.0
02;FAIL_SAFE;0.0;5.0;5.0;0;0;;0.002
02;FAIL_SAFE;5.0;10.0;5.0;0;0;;0.0
02;FAIL_SAFE;10.0;15.0;5.0;0;0;;0.0
02;FAIL_SAFE;15.0;20.0;5.0;0;0;;0.0
02;FAIL_SAFE;20.0;25.0;5.0;1;0;0.0;0.029
02;FAIL_SAFE;25.0;30.0;5.0;0;0;;0.0
02;FAIL_SAFE;30.0;35.0;5.0;0;0;;0.0
03;FUS_IMU;0.0;5.014;5.014;1001;4;0.3996003996003996;41.194
03;FUS_IMU;5.014;10.015;5.001;1000;2;0.2;41.652
03;FUS_IMU;10.015;15.014;4.999;1000;7;0.7;42.961
03;FUS_IMU;15.014;20.015;5.001;1000;4;0.4;42.544
03;FUS_IMU;20.015;25.015;5.0;1000;4;0.4;41.27
03;FUS_IMU;25.015;30.014;4.999;1000;3;0.3;41.255
03;FUS_IMU;30.014;35.015;5.001;1000;2;0.2;41.233
03;CTRL_ATT;0.0;5.014;5.014;996;0;0.0;27.725
03;CTRL_ATT;5.014;10.015;5.001;998;0;0.0;27.856
03;CTRL_ATT;10.015;15.014;4.999;991;0;0.0;27.683
03;CTRL_ATT;15.014;20.015;5.001;995;1;0.10050251256281408;27.774
03;CTRL_ATT;20.015;25.015;5.0;993;2;0.2014098690835851;27.727
03;CTRL_ATT;25.015;30.014;4.999;996;0;0.0;27.796
03;CTRL_ATT;30.014;35.015;5.001;998;0;0.0;27.837
03;NAV_PLAN;0.0;5.014;5.014;2;1;50.0;0.376
03;NAV_PLAN;5.014;10.015;5.001;1;0;0.0;0.047
03;NAV_PLAN;10.015;15.014;4.999;4;2;50.0;0.819
03;NAV_PLAN;15.014;20.015;5.001;2;1;50.0;0.372
03;NAV_PLAN;20.015;25.015;5.0;2;1;50.0;0.372
03;NAV_PLAN;25.015;30.014;4.999;1;0;0.0;0.096
03;NAV_PLAN;30.014;35.015;5.001;0;0;;0.0
03;FAIL_SAFE;0.0;5.014;5.014;0;0;;0.003
03;FAIL_SAFE;5.014;10.015;5.001;0;0;;0.0
03;FAIL_SAFE;10.015;15.014;4.999;0;0;;0.0
03;FAIL_SAFE;15.014;20.015;5.001;0;0;;0.0
03;FAIL_SAFE;20.015;25.015;5.0;1;0;0.0;0.088
03;FAIL_SAFE;25.015;30.014;4.999;0;0;;0.0
03;FAIL_SAFE;30.014;35.015;5.001;0;0;;0.0
04;FUS_IMU;0.0;5.012;5.012;1001;2;0.1998001998001998;13.558
04;FUS_IMU;5.012;10.012;5.0;1000;2;0.2;13.964
04;FUS_IMU;10.012;15.012;5.0;1000;5;0.5;14.133
04;FUS_IMU;15.012;20.012;5.0;1000;4;0.4;13.744
04;FUS_IMU;20.012;25.012;5.0;1000;2;0.2;13.576
04;FUS_IMU;25.012;30.012;5.0;1000;2;0.2;13.567
04;FUS_IMU;30.012;35.012;5.0;1000;2;0.2;13.566
04;CTRL_ATT;0.0;5.012;5.012;997;0;0.0;9.239
04;CTRL_ATT;5.012;10.012;5.0;997;0;0.0;9.257
04;CTRL_ATT;10.012;15.012;5.0;994;0;0.0;9.228
04;CTRL_ATT;15.012;20.012;5.0;996;0;0.0;9.251
04;CTRL_ATT;20.012;25.012;5.0;996;0;0.0;9.256
04;CTRL_ATT;25.012;30.012;5.0;997;0;0.0;9.257
04;CTRL_ATT;30.012;35.012;5.0;997;0;0.0;9.255
04;NAV_PLAN;0.0;5.012;5.012;2;0;0.0;0.214
04;NAV_PLAN;5.012;10.012;5.0;2;0;0.0;0.207
04;NAV_PLAN;10.012;15.012;5.0;3;0;0.0;0.486
04;NAV_PLAN;15.012;20.012;5.0;2;0;0.0;0.207
04;NAV_PLAN;20.012;25.012;5.0;3;0;0.0;0.284
04;NAV_PLAN;25.012;30.012;5.0;0;0;;0.0
04;NAV_PLAN;30.012;35.012;5.0;0;0;;0.0
04;FAIL_SAFE;0.0;5.012;5.012;0;0;;0.002
04;FAIL_SAFE;5.012;10.012;5.0;0;0;;0.0
04;FAIL_SAFE;10.012;15.012;5.0;0;0;;0.0
04;FAIL_SAFE;15.012;20.012;5.0;0;0;;0.0
04;FAIL_SAFE;20.012;25.012;5.0;1;0;0.0;0.03
