cenario;tempo_s;tarefa;jobs;misses;miss_pct;guia_concluido_nesse_instante
01;30.0;FUS_IMU;6000;0;0.0;True
01;30.0;CTRL_ATT;5999;1;0.017;True
01;30.0;NAV_PLAN;12;5;41.667;True
01;30.0;FAIL_SAFE;1;0;0.0;True
02;30.0;FUS_IMU;6000;0;0.0;True
02;30.0;CTRL_ATT;6000;0;0.0;True
02;30.0;NAV_PLAN;12;0;0.0;True
02;30.0;FAIL_SAFE;1;0;0.0;True
03;30.014;FUS_IMU;6001;24;0.4;True
03;30.014;CTRL_ATT;5969;3;0.05;True
03;30.014;NAV_PLAN;12;5;41.667;True
03;30.014;FAIL_SAFE;1;0;0.0;True
04;30.012;FUS_IMU;6001;17;0.283;True
04;30.012;CTRL_ATT;5977;0;0.0;True
04;30.012;NAV_PLAN;12;0;0.0;True
04;30.012;FAIL_SAFE;1;0;0.0;True
05;30.0;FUS_IMU;6000;0;0.0;False
05;30.0;CTRL_ATT;6000;0;0.0;False
05;30.0;NAV_PLAN;11;5;45.455;False
05;30.0;FAIL_SAFE;0;0;0.0;False
06;30.0;FUS_IMU;6000;0;0.0;True
06;30.0;CTRL_ATT;6000;0;0.0;True
06;30.0;NAV_PLAN;12;0;0.0;True
06;30.0;FAIL_SAFE;1;0;0.0;True
07;30.015;FUS_IMU;6001;45;0.75;True
07;30.015;CTRL_ATT;6001;23;0.383;True
07;30.015;NAV_PLAN;12;5;41.667;True
07;30.015;FAIL_SAFE;1;0;0.0;True
08;30.012;FUS_IMU;6001;14;0.233;True
08;30.012;CTRL_ATT;6001;0;0.0;True
08;30.012;NAV_PLAN;12;0;0.0;True
08;30.012;FAIL_SAFE;1;0;0.0;True
E01;30.0;FUS_IMU;6000;0;0.0;True
E01;30.0;CTRL_ATT;6000;0;0.0;True
E01;30.0;NAV_PLAN;12;0;0.0;True
E01;30.0;FAIL_SAFE;1;0;0.0;True
E02;30.013;FUS_IMU;6001;22;0.367;False
E02;30.013;CTRL_ATT;5978;0;0.0;False
E02;30.013;NAV_PLAN;11;0;0.0;False
E02;30.013;FAIL_SAFE;0;0;0.0;False
E03;29.999;FUS_IMU;6000;0;0.0;True
E03;29.999;CTRL_ATT;6000;0;0.0;True
E03;29.999;NAV_PLAN;12;0;0.0;True
E03;29.999;FAIL_SAFE;1;0;0.0;True
E04;30.013;FUS_IMU;6001;23;0.383;True
E04;30.013;CTRL_ATT;6001;0;0.0;True
E04;30.013;NAV_PLAN;12;0;0.0;True
E04;30.013;FAIL_SAFE;1;0;0.0;True
E05;30.003;FUS_IMU;6000;0;0.0;True
E05;30.003;CTRL_ATT;6000;0;0.0;True
E05;30.003;NAV_PLAN;12;5;41.667;True
E05;30.003;FAIL_SAFE;1;1;100.0;True
E06;30.001;FUS_IMU;6000;0;0.0;True
E06;30.001;CTRL_ATT;6000;0;0.0;True
E06;30.001;NAV_PLAN;12;0;0.0;True
E06;30.001;FAIL_SAFE;1;0;0.0;True
E07;30.0;FUS_IMU;6000;0;0.0;True
E07;30.0;CTRL_ATT;6000;0;0.0;True
E07;30.0;NAV_PLAN;12;0;0.0;True
E07;30.0;FAIL_SAFE;1;0;0.0;True
E08;30.0;FUS_IMU;6000;0;0.0;True
E08;30.0;CTRL_ATT;6000;0;0.0;True
E08;30.0;NAV_PLAN;12;5;41.667;True
E08;30.0;FAIL_SAFE;1;1;100.0;True
E09;30.015;FUS_IMU;6001;47;0.783;True
E09;30.015;CTRL_ATT;6001;24;0.4;True
E09;30.015;NAV_PLAN;12;5;41.667;True
E09;30.015;FAIL_SAFE;1;0;0.0;True
E10;30.012;FUS_IMU;6001;14;0.233;True
E10;30.012;CTRL_ATT;6001;0;0.0;True
E10;30.012;NAV_PLAN;12;0;0.0;True
E10;30.012;FAIL_SAFE;1;0;0.0;True
