cenario;grupo;politica;escalonamento;cpu_mhz;slicing_declarado;duracao_s;hard_jobs;hard_misses;hard_miss_pct;soft_jobs;soft_misses;soft_miss_pct;fs_latencia_us;fs_resposta_us;fs_margem_us;cpu_quatro_tarefas_pct;defasagem_jobs_fus_ctrl;nenhuma_perda_reportada
01;Principal;CUSTOM;PRE;80;ON;35.0;14000;1;0.007142857142857143;12;5;41.666666666666664;20;4259;5741;69.86314285714285;1;False
02;Principal;CUSTOM;PRE;240;ON;35.0;14001;0;0.0;12;0;0.0;9;1348;8652;23.21;0;True
03;Principal;CUSTOM;COOP;80;ON;35.015;13969;29;0.20760254850025056;12;5;41.666666666666664;21;4799;5201;69.81119168927603;34;False
04;Principal;CUSTOM;COOP;240;ON;35.012;13976;19;0.13594733829421865;12;0;0.0;8;1347;8653;23.182941734262535;27;False
05;Principal;DM;PRE;80;ON;35.0;14001;1;0.007142346975216056;12;5;41.666666666666664;24;14792;-4792;69.81642857142856;0;False
06;Principal;DM;PRE;240;ON;35.0;14001;0;0.0;12;0;0.0;13;3162;6838;23.195285714285717;0;True
07;Principal;DM;COOP;80;ON;35.015;14003;73;0.521316860672713;12;5;41.666666666666664;1420;9042;958;69.97591940596885;0;False
08;Principal;DM;COOP;240;ON;35.012;14003;16;0.11426122973648505;12;0;0.0;13;1351;8649;23.182383868387983;0;False
E01;160 MHz;CUSTOM;PRE;160;ON;35.0;14001;0;0.0;12;0;0.0;12;2022;7978;34.72;0;True
E02;160 MHz;CUSTOM;COOP;160;ON;35.013;13977;25;0.17886527867210417;12;0;0.0;24;2047;7953;34.70754768228944;26;False
E03;160 MHz;DM;PRE;160;ON;34.999;14001;0;0.0;12;0;0.0;33;3781;6219;34.72243161233178;0;True
E04;160 MHz;DM;COOP;160;ON;35.013;14003;26;0.1856744983217882;12;0;0.0;17;2026;7974;34.76095544512039;0;False
E05;Time slicing;DM;PRE;80;OFF;35.003;14001;1;0.007142346975216056;12;5;41.666666666666664;3517;18983;-8983;69.79450598520127;0;False
E06;Time slicing;DM;PRE;240;OFF;30.001;12001;0;0.0;12;0;0.0;13;1351;8649;23.26199426685777;0;True
E07;RM;RM;PRE;240;ON;30.0;12001;0;0.0;12;0;0.0;530;1905;8095;23.246333333333332;0;True
E08;RM;RM;PRE;80;ON;30.0;12001;1;0.008332638946754437;12;5;41.666666666666664;948;16871;-6871;69.971;0;False
E09;RM;RM;COOP;80;ON;30.015;12003;71;0.5915187869699242;12;5;41.666666666666664;24;8042;1958;70.13947926036982;0;False
E10;RM;RM;COOP;240;ON;35.012;14003;16;0.11426122973648505;12;0;0.0;25;1367;8633;23.191575002856162;0;False
