cenario;duracao_s;linhas_metric;sequencia;descartados;watchdog;snapshots_inicio_antes_evento_fus;snapshots_fus;defasagem_jobs_fus_ctrl;texto_nao_ascii;slicing_no_log;latencia_fisica_medida
01;35.0;28;CBCABCBCBCBCDC;0;False;7;7;1;False;False;False
02;35.0;28;CBCABCBCBCBCDC;0;False;7;7;0;False;False;False
03;35.015;28;CBCABCBCBCBCDC;0;False;7;7;34;False;False;False
04;35.012;28;CBCABCBCBCBCDC;0;False;4;7;27;False;False;False
05;35.0;28;CBCABCBCBCBCDC;0;False;7;7;0;False;False;False
06;35.0;28;CBCABCBCBCBCDC;0;False;7;7;0;False;False;False
07;35.015;28;CBCABCBCBCBCDC;0;False;7;7;0;False;False;False
08;35.012;28;CBCABCBCBCBCDC;0;False;6;7;0;False;False;False
E01;35.0;28;CBCABCBCBCBCDC;0;False;7;7;0;False;False;False
E02;35.013;28;CBCABCBCBCBCDC;0;False;7;7;26;False;False;False
E03;34.999;28;CBCABCBCBCBCDC;0;False;7;7;0;True;False;False
E04;35.013;28;CBCABCBCBCBCDC;0;False;6;7;0;False;False;False
E05;35.003;28;CBCABCBCBCBCDC;0;False;7;7;0;False;False;False
E06;30.001;24;CBCABCBCBCBCDC;0;False;6;6;0;False;False;False
E07;30.0;24;CBCABCBCBCBCDC;0;False;6;6;0;False;False;False
E08;30.0;24;CBCABCBCBCBCDC;0;False;6;6;0;True;False;False
E09;30.015;24;CBCABCBCBCBCDC;0;False;6;6;0;False;False;False
E10;35.012;28;CBCABCBCBCBCDC;0;False;6;7;0;False;False;False
